starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:42 2020	1595069082	0	13406	13406	13396
Sat Jul 18 13:44:34 2020	1595069074	0	13406	13406	13406
Sat Jul 18 13:44:34 2020	1595069074	0	13407	13407	13406
Sat Jul 18 13:44:42 2020	1595069082	0	13407	13407	13406
Sat Jul 18 13:44:38 2020	1595069078	0	13407	13407	13407
Sat Jul 18 13:44:34 2020	1595069074	0	13407	13407	13407
Sat Jul 18 13:44:34 2020	1595069074	0	13407	13407	13407
Sat Jul 18 13:44:29 2020	1595069069	0	13407	13407	13407
Sat Jul 18 13:44:39 2020	1595069079	0	13407	13408	13407
Sat Jul 18 13:44:38 2020	1595069078	0	13408	13408	13408
Sat Jul 18 13:44:22 2020	1595069062	0	13408	13408	13408
Sat Jul 18 13:44:42 2020	1595069082	0	13408	13408	13408
Sat Jul 18 13:44:42 2020	1595069082	0	13409	13409	13408
Sat Jul 18 13:44:34 2020	1595069074	0	13409	13409	13409
Sat Jul 18 13:44:42 2020	1595069082	0	13409	13410	13409
Sat Jul 18 13:44:29 2020	1595069069	0	13410	13410	13409
Sat Jul 18 13:44:34 2020	1595069074	0	13410	13410	13409
Sat Jul 18 13:44:22 2020	1595069062	0	13411	13411	13411
Sat Jul 18 13:44:34 2020	1595069074	0	13411	13412	13411
Sat Jul 18 13:44:35 2020	1595069075	0	13412	13412	13411
Sat Jul 18 13:44:34 2020	1595069074	0	13412	13412	13412
Sat Jul 18 13:44:34 2020	1595069074	0	13412	13412	13411
Sat Jul 18 13:44:30 2020	1595069070	0	13412	13412	13411
Sat Jul 18 13:44:22 2020	1595069062	0	13412	13412	13412
Sat Jul 18 13:44:42 2020	1595069082	0	13412	13412	13412
Sat Jul 18 13:44:29 2020	1595069069	0	13413	13413	13413
Sat Jul 18 13:44:26 2020	1595069066	0	13414	13414	13414
Sat Jul 18 13:44:38 2020	1595069078	0	13415	13415	13413
Sat Jul 18 13:44:22 2020	1595069062	0	13415	13415	13415
Sat Jul 18 13:44:34 2020	1595069074	0	13415	13415	13414
Sat Jul 18 13:44:34 2020	1595069074	0	13415	13415	13415
Sat Jul 18 13:44:38 2020	1595069078	0	13415	13415	13415
Sat Jul 18 13:44:34 2020	1595069074	0	13416	13416	13416
Sat Jul 18 13:44:40 2020	1595069080	0	13416	13416	13416
Sat Jul 18 13:44:22 2020	1595069062	0	13417	13417	13416
Sat Jul 18 13:44:34 2020	1595069074	0	13417	13418	13417
Sat Jul 18 13:44:22 2020	1595069062	0	13418	13418	13417
Sat Jul 18 13:44:34 2020	1595069074	0	13420	13421	13420
Sat Jul 18 13:44:22 2020	1595069062	0	13421	13421	13421
Sat Jul 18 13:44:39 2020	1595069079	0	13421	13421	13421
Sat Jul 18 13:44:38 2020	1595069078	0	13422	13422	13421
Sat Jul 18 13:44:29 2020	1595069069	0	13423	13423	13422
Sat Jul 18 13:44:23 2020	1595069063	0	13423	13423	13423
Sat Jul 18 13:44:22 2020	1595069062	0	13424	13424	13423
Sat Jul 18 13:44:34 2020	1595069074	0	13424	13424	13424
Sat Jul 18 13:44:22 2020	1595069062	0	13425	13425	13425
Sat Jul 18 13:44:22 2020	1595069062	0	13426	13426	13426
Sat Jul 18 13:44:28 2020	1595069068	0	13426	13426	13426
Sat Jul 18 13:44:23 2020	1595069063	0	13426	13426	13422
Sat Jul 18 13:44:42 2020	1595069082	0	13426	13426	13426
Sat Jul 18 13:44:42 2020	1595069082	0	13428	13428	13426
Sat Jul 18 13:44:22 2020	1595069062	0	13429	13429	13427
Sat Jul 18 13:44:34 2020	1595069074	0	13429	13429	13429
Sat Jul 18 13:44:34 2020	1595069074	0	13430	13430	13430
Sat Jul 18 13:44:34 2020	1595069074	0	13430	13430	13430
Sat Jul 18 13:44:34 2020	1595069074	0	13431	13431	13421
Sat Jul 18 13:44:33 2020	1595069073	0	13431	13431	13431
Sat Jul 18 13:44:42 2020	1595069082	0	13431	13431	13422
Sat Jul 18 13:44:22 2020	1595069062	0	13432	13432	13431
Sat Jul 18 13:44:34 2020	1595069074	0	13432	13432	13431
Sat Jul 18 13:44:22 2020	1595069062	0	13432	13432	13431
Sat Jul 18 13:44:22 2020	1595069062	0	13432	13432	13432
Sat Jul 18 13:44:39 2020	1595069079	0	13432	13432	13432
Sat Jul 18 13:44:28 2020	1595069068	0	13432	13432	13432
Sat Jul 18 13:44:34 2020	1595069074	0	13435	13435	13435
Sat Jul 18 13:44:39 2020	1595069079	0	13435	13435	13435
Sat Jul 18 13:44:42 2020	1595069082	0	13435	13435	13435
Sat Jul 18 13:44:34 2020	1595069074	0	13436	13436	13436
Sat Jul 18 13:44:42 2020	1595069082	0	13437	13437	13437
Sat Jul 18 13:44:34 2020	1595069074	0	13439	13439	13439
Sat Jul 18 13:44:30 2020	1595069070	0	13439	13439	13439
